username,trade_score,abortion_score,migration_score,economics_score,rights_score
jshaner.base.eth,4,5,3,2,0
dribble,0,5,1,0,0
kingmodaser,3,0,0,4,6
peachybyrne,1,0,1,5,4
biggals,0,1,6,4,2
oladotun,1,6,6,3,0
tapjoy,1,4,6,0,3
tohpac1,0,1,2,5,4
pinstripedgator,2,5,1,1,0
axolotito,4,0,0,5,0
elfahmi,0,1,3,5,1
meb,2,5,5,2,2
link3,0,3,5,2,3
leadgen,0,4,5,3,2
kryptocockcoin,0,5,5,1,0
gadoo,5,6,3,3,0
ai4therapy,3,5,3,1,2
saluberis,2,2,5,3,2
adaninie,1,2,0,5,3
schorn.eth,0,2,1,5,0
zoo,0,0,1,5,0
yara2024,1,6,3,5,4
hdr,0,0,1,5,2
purp,2,0,1,5,0
freymon.eth,1,6,2,2,0
